"questions","keys","datadic","value","valuelabels"
"What languages are spoken by parent 2?","","PreInt_Lang","",""
"Parent 2 language 1","P2_Lang1","PreInt_Lang","",""
"Has parent 2 spoken language 1 his/her whole life?","P2_Lang1_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","P2_Lang1_Age","PreInt_Lang","",""
"Parent 2 language 1 Setting","P2_Lang1_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Parent 2 language 2","P2_Lang2","PreInt_Lang","",""
"Has parent 2 spoken language 2 his/her whole life?","P2_Lang2_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","P2_Lang2_Age","PreInt_Lang","",""
"Parent 2 language 2 Setting","P2_Lang2_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Parent 2 language 3","P2_Lang3","PreInt_Lang","",""
"Has parent 2 spoken language 3 his/her whole life?","P2_Lang3_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","P2_Lang3_Age","PreInt_Lang","",""
"Parent 2 language 3 Setting","P2_Lang3_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"What languages are spoken by the child's sibling(s)?","","PreInt_Lang","",""
"Sibling(s) language 1","Sib_Lang1","PreInt_Lang","",""
"Has the child's sibling(s) spoken language 1 his/her whole life?","Sib_Lang1_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","Sib_Lang1_Age","PreInt_Lang","",""
"Sibling(s) language 1 Setting","Sib_Lang1_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Sibling(s) language 2","Sib_Lang2","PreInt_Lang","",""
"Has the child's sibling(s) spoken language 2 his/her whole life?","Sib_Lang2_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","Sib_Lang2_Age","PreInt_Lang","",""
"Sibling(s) language 2 Setting","Sib_Lang2_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Sibling(s) language 3","Sib_Lang3","PreInt_Lang","",""
"Has the child's sibling(s) spoken language 3 his/her whole life?","Sib_Lang3_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","Sib_Lang3_Age","PreInt_Lang","",""
"Sibling(s) language 3 Setting","Sib_Lang3_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"What languages are spoken by other relatives in the household?","","PreInt_Lang","",""
"Other relative language 1","OR_Lang1","PreInt_Lang","",""
"Has other relative spoken language 1 his/her whole life?","OR_Lang1_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","OR_Lang1_Age","PreInt_Lang","",""
"Other relative language 1 Setting","OR_Lang1_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Other relative language 2","OR_Lang2","PreInt_Lang","",""
"Has other relative spoken language 2 his/her whole life?","OR_Lang2_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","OR_Lang2_Age","PreInt_Lang","",""
"Other relative language 2 Setting","OR_Lang2_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Other relative language 3","OR_Lang3","PreInt_Lang","",""
"Has other relative spoken language 3 his/her whole life?","OR_Lang3_Life","PreInt_Lang","0-1","0= Not spoken whole life, 1= Spoken whole life"
"If no, at what age did (s)he begin speaking the language?","OR_Lang3_Age","PreInt_Lang","",""
"Other relative language 3 Setting","OR_Lang3_Setting","PreInt_Lang","0-2","0= Other, 1= School, 2= Home"
"Scores","","PreInt_Lang","",""
"Has your chid ever been diagnosed with a psychiatric or learning disorder?","Past_DX","PreInt_TxHx","0-1","0= No, 1= Yes"
"If yes:","","PreInt_TxHx","",""
"Past diagnosis 1","Past_DX1","PreInt_TxHx","",""
"Child's age when diagnosis 1 given","Past_DX1_Age","PreInt_TxHx","",""
"Past diagnosis 2","Past_DX2","PreInt_TxHx","",""
"Child's age when diagnosis 2 given","Past_DX2_Age","PreInt_TxHx","",""
"Past diagnosis 3","Past_DX3","PreInt_TxHx","",""
"Child's age when diagnosis 3 given","Past_DX3_Age","PreInt_TxHx","",""
"Is this child currently taking any psychiatric medications?","psych_meds_cur","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has this child taken any psychiatric medications in the past?","psych_meds_past","PreInt_TxHx","0-1","0= No, 1= Yes"
"If child is currently taking psychiatric medications:","","PreInt_TxHx","",""
"Type of medication (1)","pmed_01_type","PreInt_TxHx","",""
"Name of medication (1)","pmed_01_name","PreInt_TxHx","",""
"Highest dose (1)","pmed_01_dose","PreInt_TxHx","",""
"Type of medication (2)","pmed_02_type","PreInt_TxHx","",""
"Name of medication (2)","pmed_02_name","PreInt_TxHx","",""
"Highest dose (2)","pmed_02_dose","PreInt_TxHx","",""
"Type of medication (3)","pmed_03_type","PreInt_TxHx","",""
"Name of medication (3)","pmed_03_name","PreInt_TxHx","",""
"Highest dose (3)","pmed_03_dose","PreInt_TxHx","",""
"Type of medication (4)","pmed_04_type","PreInt_TxHx","",""
"Name of medication (4)","pmed_04_name","PreInt_TxHx","",""
"Highest dose (4)","pmed_04_dose","PreInt_TxHx","",""
"Type of medication (5)","pmed_05_type","PreInt_TxHx","",""
"Name of medication (5)","pmed_05_name","PreInt_TxHx","",""
"Highest dose (5)","pmed_05_dose","PreInt_TxHx","",""
"If child has taken psychiatric medications in the past:","","PreInt_TxHx","",""
"Type of medication (1)","pmed_06_type","PreInt_TxHx","",""
"Name of medication (1)","pmed_06_name","PreInt_TxHx","",""
"Highest dose (1)","pmed_06_dose","PreInt_TxHx","",""
"Type of medication (2)","pmed_07_type","PreInt_TxHx","",""
"Name of medication (2)","pmed_07_name","PreInt_TxHx","",""
"Highest dose (2)","pmed_07_dose","PreInt_TxHx","",""
"Type of medication (3)","pmed_08_type","PreInt_TxHx","",""
"Name of medication (3)","pmed_08_name","PreInt_TxHx","",""
"Highest dose (3)","pmed_08_dose","PreInt_TxHx","",""
"Type of medication (4)","pmed_09_type","PreInt_TxHx","",""
"Name of medication (4)","pmed_09_name","PreInt_TxHx","",""
"Highest dose (4)","pmed_09_dose","PreInt_TxHx","",""
"Type of medication (5)","pmed_10_type","PreInt_TxHx","",""
"Name of medication (5)","pmed_10_name","PreInt_TxHx","",""
"Highest dose (5)","pmed_10_dose","PreInt_TxHx","",""
"Is this child currently taking any medications for non-psychiatric reasons?","other_med_cur","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has this child taken any other medications in the past?","other_med_past","PreInt_TxHx","0-1","0= No, 1= Yes"
"If child is currentlytaking non-psychiatric medications:","","PreInt_TxHx","",""
"Name of medication (1)","omed_01_name","PreInt_TxHx","",""
"Highest dose (1)","omed_01_dose","PreInt_TxHx","",""
"Name of medication (2)","omed_02_name","PreInt_TxHx","",""
"Highest dose (2)","omed_02_dose","PreInt_TxHx","",""
"Name of medication (3)","omed_03_name","PreInt_TxHx","",""
"Highest dose (3)","omed_03_dose","PreInt_TxHx","",""
"Name of medication (4)","omed_04_name","PreInt_TxHx","",""
"Highest dose (4)","omed_04_dose","PreInt_TxHx","",""
"Name of medication (5)","omed_05_name","PreInt_TxHx","",""
"Highest dose (5)","omed_05_dose","PreInt_TxHx","",""
"If child has taken non-psychiatric medications in the past:","","PreInt_TxHx","",""
"Name of medication (1)","omed_06_name","PreInt_TxHx","",""
"Highest dose (1)","omed_06_dose","PreInt_TxHx","",""
"Name of medication (2)","omed_07_name","PreInt_TxHx","",""
"Highest dose (2)","omed_07_dose","PreInt_TxHx","",""
"Name of medication (3)","omed_08_name","PreInt_TxHx","",""
"Highest dose (3)","omed_08_dose","PreInt_TxHx","",""
"Name of medication (4)","omed_09_name","PreInt_TxHx","",""
"Highest dose (4)","omed_09_dose","PreInt_TxHx","",""
"Name of medication (5)","omed_10_name","PreInt_TxHx","",""
"Highest dose (5)","omed_10_dose","PreInt_TxHx","",""
"Has your child ever had an allergic reaction to any medications?","med_allergy","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child ever had an allergic reaction to a food?","food_allergy","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child ever had an allergic reaction to an insect bite?","insect_allergy","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child had all immunizations?","immunizations","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child ever had any bad reactions to immunizations?","immunization_reaction","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child ever had any serious injuries?","serious_injury","PreInt_TxHx","0-1","0= No, 1= Yes"
"Number of serious injuries","number_injuries","PreInt_TxHx","0-2","0= No, 1= Yes, 2= Not sure"
"Has your child ever had any head injuries?","head_injuries","PreInt_TxHx","0-1","0= No, 1= Yes"
"If yes, did this injury cause loss of consciousness?","lost_consciousness","PreInt_TxHx","0-1","0= No, 1= Yes"
"Does your child wear glasses?","glasses","PreInt_TxHx","",""
"Does your child require a hearing aid?","hearingaid","PreInt_TxHx","",""
"Has your child ever been brought to an emergency room?","emergency_room","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child ever been hospitalized?","hospitalized","PreInt_TxHx","0-1","0= No, 1= Yes"
"Does your child have any other current or past significant medical health problems?","health_problems","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child had any history of self-injurious behavior or suicide attempt?","suicide","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child had any severe aggressive behaviors or homicidality?","homicide","PreInt_TxHx","0-1","0= No, 1= Yes"
"Has your child had any exposure to violence or trauma?","trauma","PreInt_TxHx","0-1","0= No, 1= Yes"
"Any history of ACS involvement?","ACS","PreInt_TxHx","0-1","0= No, 1= Yes"
"Do you keep any firearms or other lethal means in your home?","firearms","PreInt_TxHx","0-1","0= No, 1= Yes"
"Scores","","PreInt_TxHx","",""
"1. I often have the feeling that I cannot handle things very well.","PSI_01","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"2. I find myself giving up more of my life to meet my children's needs than I ever expected.","PSI_02","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"3. I feel trapped by my responsibilities as a parent.","PSI_03","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"4. Since having this child, I have been unable to do new and different things.","PSI_04","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"5. Since having a child, I feel that I am almost never able to do things that I like to do.","PSI_05","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"6. I am unhappy with the last purchase of clothing I made for myself.","PSI_06","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"7. There are quite a few things that bother me about my life.","PSI_07","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"8. Having a child has caused more problems than I expected in my relationship with my spouse/parenting partner.","PSI_08","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"9. I feel alone and without friends.","PSI_09","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"10. When I go to a party, I usually expect not to enjoy myself.","PSI_10","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"11. I am not as interested in people as I used to be.","PSI_11","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"12. I don't enjoy things as I used to.","PSI_12","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"13. My child rarely does things for me that make me feel good.","PSI_13","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"14. When I do things for my child, I get the feeling htat my efforts are not appreciated very much.","PSI_14","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"15. My child smiles at me much less than I expected.","PSI_15","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"16. Sometimes I feel my child doesn't like me and doesn't want to be close to me.","PSI_16","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"17. My child is very emotional and gets upset easily.","PSI_17","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"18. My child doesn't seem to learn as quickly as most children.","PSI_18","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"19. My child doesn't seem to smile as much as most children.","PSI_19","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"20. My child is not able to do as much as I expected.","PSI_20","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"21. It takes a long time and it is very hard for my child to get used to new things.","PSI_21","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"22. I feel that I am: 1) a very good parent. 2) a better-than-average parent. 3) an average parent. 4) a person who has some trouble being a parent. 5) not very good at being a parent.","PSI_22","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"23. I expected to have closer and warmer feelings for my child than I do, and this bothers me.","PSI_23","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"24. Sometimes my child does things that bother me just to be mean.","PSI_24","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"25. My child seems to cry or fuss more often than most children.","PSI_25","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"26. My child generally wakes up in a bad mood.","PSI_26","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"27. I feel that my child is very moody and easily upset.","PSI_27","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"28. Compared to the average child, my child has a great deal of difficulty in getting used to changes in schedules or changes around the house.","PSI_28","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"29. My child reacts very strongly when something happens that my child doesn't like.","PSI_29","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"30. When playing, my child doesn't often giggle or laugh.","PSI_30","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"31. My child's sleeping or eating schedule was much harder to establish than I expected.","PSI_31","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"32. I have found that getting my child to do something or stop doing something is: 1) much harder than I expected. 2) somewhat harder than I expected. 3) about as hard as I expected. 4) somewhat easier than I expected. 5) much easier than I expected.","PSI_32","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"33. Think carefully and count the number of things which your child does that bothers you. For example, dawdles, refuses to listen, overactive, cries, interrupts, fights, whines, etc. 1) 1-3, 2) 4-5, 3) 6-7, 4) 8-9, 5) 10+","PSI_33","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"34. There are some things my child does that really bother me a lot.","PSI_34","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"35. My child's behavior is more of a problem than I expected.","PSI_35","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"36. My child makes more demands on me than most children.","PSI_36","PSI","1-5","1=Strongly Disagree, 2= Disagree, 3= Not Sure, 4= Agree, 5= Strongly Agree"
"Scores","","PSI","",""
"Difficult Child Raw Score","PSI_DC","PSI","",""
"Difficult Child T-Score","PSI_DC_T","PSI","",""
"Parent-Child Dysfunctional Interaction Raw Score","PSI_PCDI","PSI","",""
"Parent-Child Dysfunctional Interaction T-Score","PSI_PCDI_T","PSI","",""
"Parental Distress Raw Score","PSI_PD","PSI","",""
"Parental Distress T-Score","PSI_PD_T","PSI","",""
"Total Raw Score","PSI_Total","PSI","",""
"Total T-Score","PSI_Total_T","PSI","",""
"Body rocking, Body swaying","RBS_01","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Rolls head, Nods head, Turns head","RBS_02","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Flaps hands, Wiggles or flicks fingers, Claps hands, Waves or shakes hand or arm","RBS_03","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Turns in circles, Whirls, Jumps, Bounces","RBS_04","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Spins or twirls objects, Twiddles or slaps or throws objects, Lets objects fall out of hands","RBS_05","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Covers eyes, Looks closely or gazes at hands or objects, Covers ears, Smells or sniffs items, Rubs surfaces","RBS_06","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Hits or slaps head, face, or other body area","RBS_07","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Hits or bangs head or other body part on table, floor or other surface","RBS_08","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Hits or bangs head or other body area with objects","RBS_09","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Bites hand, wrist, arm, lips or tongue","RBS_10","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Pulls hair or skin","RBS_11","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Rubs or scratches marks on arms, leg, face or torso","RBS_12","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Eye-poking, Ear-poking","RBS_13","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Picks at skin on face, hands, arms, legs or torso","RBS_14","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Arranges certain objects in a particular pattern or place; Need for things to be even or symmetrical","RBS_15","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Must have doors opened or closed; Takes all items out of a container or area","RBS_16","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Excessively cleans certain body parts; Picks at lint or loose threads","RBS_17","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Repeatedly checks doors, windows, drawers, appliances, clocks, locks, etc.","RBS_18","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Counts items or objects; Counts to a certain number or in a certain way","RBS_19","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Collects, hoards or hides specific items","RBS_20","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Need to repeat routine events; In / out door, up / down from chair, clothing on/off","RBS_21","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Need to touch, tap, or rub items, surfaces, or people","RBS_22","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Strongly prefers/insists on eating/drinking only certain things; Eats or drinks items in a set order; Insists that meal related items are arranged in a certain way","RBS_23","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on certain pre-bedtime routines; Arranges items in room –just so” prior to bedtime; Insists that certain items be present with him/her during sleep; Insists that another person be present prior to or during sleep","RBS_24","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on specific order of activities or tasks related to using the bathroom, to washing, showering, bathing or dressing; Arranges items in a certain way in the bathroom or insists that bathroom items not be moved; Insists on wearing certain clothing items","RBS_25","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on taking certain routes/paths; Must sit in specific location in vehicles; Insists that certain items be present during travel, e.g., toy or material; Insists on seeing or touching certain things or places during travel such as a sign or store","RBS_26","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on certain play activities; Follows a rigid routine during play / leisure; Insists that certain items be present/available during play/leisure; Insists that other persons do certain things during play","RBS_27","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Repeats same topic(s) during social interactions; Repetitive questioning; Insists on certain topics of conversation; Insists that others say certain things or respond in certain ways during interactions","RBS_28","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists that things remain in the same place(s) (e.g. toys, supplies, furniture, pictures, etc.) ","RBS_29","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Objects to visiting new places","RBS_30","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Becomes upset if interrupted in what he/she is doing","RBS_31","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on walking in a particular pattern (e.g., straight line)","RBS_32","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on sitting at the same place","RBS_33","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Dislikes changes in appearance or behavior of the people around him/her","RBS_34","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on using a particular door","RBS_35","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Likes the same CD, tape, record or piece of music played continually; Likes same movie / video or part of movie / video","RBS_36","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Resists changing activities; Difficulty with transitions","RBS_37","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists on same routine, household, school or work schedule everyday","RBS_38","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Insists that specific things take place at specific times","RBS_39","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Fascination, preoccupation with one subject or activity (e.g., trains, computers, weather, dinosaurs)","RBS_40","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Strongly attached to one specific object","RBS_41","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Preoccupationg with part(s) or object rather than the whole object (e.g., buttons on clothes, wheels on toy cars)","RBS_42","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Fascination, preoccupation with movement / things that move (e.g., fans, clocks)","RBS_43","RBS","0-3","0=Behavior does not occur,1=Behavior occurs and is a mild problem,2=Behavior occurs and is a moderate problem,3=Behavior occurs and is a severe problem"
"Overall, if you “lump together” all of the behaviors described in this questionnaire, how much of a problem are these repetitive behaviors (both for the person with autism, as well as how they affect the people around them)? Please rate on a scale from 1 to 100, where 1 = not a problem at all, and 100 = as bad as you can imagine:","RBS_44","RBS","1-100",""
"Scores","","RBS","",""
"Subscale I Score - Stereotypic Behavior","Score_01","RBS","",""
"Subscale II Score - Self-Injurious Behavior","Score_02","RBS","",""
"Subscale III Score - Compulsive Behavior","Score_03","RBS","",""
"Subscale IV Score - Ritualistic/Sameness Behavior","Score_04","RBS","",""
"Subscale V Score - Restricted Interests","Score_05","RBS","",""
"Enrolled remotely?","Remote_Enrollment","RemoteTasks","0-1","0 = No,1 = Yes"
"KSADS administered remotely?","Remote_KSADS","RemoteTasks","0-1","0 = No,1 = Yes"
"WIAT administered remotely?","Remote_WIAT","RemoteTasks","0-1","0 = No,1 = Yes"
"CTOP administered remotely?","Remote_CTOPP","RemoteTasks","0-1","0 = No,1 = Yes"
"TOWRE administered remotely?","Remote_TOWRE","RemoteTasks","0-1","0 = No,1 = Yes"
"WISC administered remotely?","Remote_WISC","RemoteTasks","0-1","0 = No,1 = Yes"
"Able to laugh around with others, for example accepting light-hearted teasing and responding appropriately.","SAS_01","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
"Easy to chat with, even if it isn't on a topic that specially interests him/her.","SAS_02","SAS","0-4","0=A lot worse than average,1=A bit worse than average,2=About average,3=A bit better than average,4=A lot better than average"
